Exchange, URL, REPO, DOCS, DEX GRADE, Status, Protocol, Reference, Asset, DLT, ORG, 
{Set},https://setprotocol.com/,https://github.com/SetProtocol/set-protocol-contracts,https://www.setprotocol.com/pdf/set_protocol_whitepaper.pdf, , dev, {Set} protocol,2, ERC20 Tokens - Set Tokens, Ethereum, , 
0x,https://0x.org/,https://github.com/0xProject,https://0x.org/pdfs/0x_white_paper.pdf, , live, 0x protocol,2, ERC20 Tokens, Ethereum, , 
0x Portal,https://0x.org/portal, , , , operating, 0x protocol, , , , , 
0xchange,https://0xchange.me/,https://github.com/0xchange/0xchange,https://devpost.com/software/0xchange-me, , operating, 0x protocol, , , , , 
AirSwap,https://www.airswap.io/,https://github.com/airswap,https://swap.tech/whitepaper/, , operating, swap protocol, , , , , 
Allbit,https://allbit.com/, ,https://static-allbit.s3.amazonaws.com/guide/APOT_White%20paper_v.0.9.3._181005_revised.pdf, TBC, operating, Ethereum - Allbit Sidechain,3, ERC20 Tokens, Ethereum, Ozys Co. Ltd., 
Altcoin Exchange,https://www.altcoin.io/,https://github.com/AltCoinExchange/, , , dev, raiden protocol, , , , , 
ALTTEX,https://alttex.io/,https://github.com/alttex/Alt-exchange,https://alttex.io/WhitePaper_En.pdf, , dev, 0x protocol, , , , , 
Amadeus Relay,https://amadeusrelay.org/,https://github.com/AmadeusRelay, , , dev, 0x protocol, , , , , 
Aphelion,https://aphelion.org/,https://github.com/aphtoken/,https://aphelion.org/wp.html, , live, NEO protocol, , , , , 
Atom DEX,https://bitcoinatom.io/,https://github.com/bitcoin-atom, , , operating - beta, atomic swap, , , Bitcoin Atom, , 
atomicDEX, ,https://github.com/ca333/atomicDEX, , , dev, TBC, , , , , 
ATUM,https://atumchain.com/, , , , dev, cross-chain NEM, , , , , 
AXNET DEX,https://dex.ax.net,https://github.com/AX-NET,https://ax.net/docs/AXNETWhitepaper.pdf, FULLY, dev, EOS protocol, , , , , 
B&C Exchange,https://bcexchange.org,https://bitbucket.org/JordanLeePeershares/bcexchange/src,https://bcexchange.org/assets/Blocks_&_Chains_Decentralized_Exchange.pdf, , operating, bcexchange protocol, , , , , 
b0x,https://b0x.network/,https://github.com/bZxNetwork,https://b0x.network/pdfs/bZx_white_paper.pdf, , dev - TGE expected Q2 2018, b0x protocol margin lending/trading and oracle marketplace, , , , , 
Bamboo Relay,https://bamboorelay.com/, , , , operating, 0x protocol, , ERC20 Tokens, Ethereum, , 
Bancor,https://app.bancor.network/discover,https://github.com/bancorprotocol/,https://about.bancor.network/Whitepaper, , live, bancor protocol, , ERC20 Tokens, Ethereum, , 
BarterDEX,https://komodoplatform.com/,https://github.com/KomodoPlatform/BarterDEX,https://komodoplatform.com/wp-content/uploads/2018/06/Komodo-Whitepaper-June-3.pdf, FULLY, operating, barterdex protocol, , , , , 
Beldex,https://beldexcoin.com/, ,https://beldexcoin.com/pdf/whitepaper.pdf, , dev, TBC,3, , , , 
Bibox DEX,https://www.bibox.com/,https://github.com/Biboxcom, , , https://steemit.com/bibox/@geonardlc/bibox-ai-driven-decentralized-digital-asset-exchange-platform, TBC,12, , , , 
Binance DEX, ,https://github.com/binance-exchange, , , https://medium.com/binanceexchange/binance-chain-2bb9a95b3997, TBC, , , , , 
Bisq,https://bisq.network/,https://github.com/bisq-network,https://github.com/bisq-network/docs/blob/master/exchange/whitepaper.adoc, FULLY, operating, Bisq protocol,6, , , , 
Bithumb DEX,https://www.bithumb.io/, , , , https://medium.com/@oneroot/bithumb-oneroot-worlds-first-crossover-bf0a4a6b0ed6, TBC, , , , BGEX Ltd., 
Bitox Exchange,https://bitox.io,https://github.com/bitox-exchange, , FULLY, dev, 0x protocol, , , , , 
BitShares,https://wallet.bitshares.org/,https://github.com/bitshares,https://github.com/bitshares-foundation/bitshares.foundation/blob/master/download/articles/BitSharesBlockchain.pdf, ACL DCD DC DD DG FULLY, live, bitshares protocol DPOS,"1,5,6","Bitshares, Bitshares SmartCoins, bitUSD, bitCNY, bitEUR", Graphene Technology, , 
